,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
u[64],1.00392932,0.096050638,0.8029,0.947374999,1.002499875,1.06,1.197,1.00388953,490
sdu,0.095908974,0.034838521,0.0404195,0.0681775,0.093819999,0.1186,0.1697,1.022954888,74
beta[1],4.1682846,0.126626982,3.924,4.081,4.171,4.256,4.424,1.025384648,540
beta[2],-0.19202874,0.023694567,-0.2399,-0.2076,-0.1918,-0.1762,-0.145695,1.000868661,5000
beta[3],-0.56008244,0.049735561,-0.6597025,-0.5943,-0.56075,-0.5262,-0.4653925,1.001564803,5000
beta[4],-1.2772974,0.092128895,-1.462,-1.339,-1.278,-1.215,-1.098,1.007501164,340
beta[5],2.8207844,0.073444349,2.683974995,2.768,2.824,2.871,2.966,1.013208334,350
beta[6],1.59252372,0.282570108,1.057974988,1.395,1.594,1.785249947,2.155,1.003556194,550
beta[7],0.50426518,0.063409693,0.382392497,0.4614,0.5024,0.5469,0.627712495,1.002187351,4600
beta[8],0.154701823,0.068074416,0.02072725,0.1086,0.15365,0.2016,0.2844,1.004317768,1600
beta[9],0.237308631,0.122906959,-0.0064366,0.151575,0.2368,0.3169,0.4875025,1.001249913,3300
beta[10],-0.57591432,0.070583714,-0.7185,-0.624325,-0.5761,-0.52725,-0.43268,1.005554336,2600
beta[11],-0.014059145,0.213370098,-0.4546075,-0.154125,-0.0015755,0.1237,0.397425,1.021456695,1700
beta[12],-0.51640302,0.068177406,-0.6524,-0.5598,-0.5154,-0.47,-0.3863975,1.005726788,4900
beta[13],-0.342884585,0.208816155,-0.7522325,-0.4753,-0.35395,-0.2003,0.08794325,1.022806067,5000
beta[14],0.095793393,0.030174549,0.034994,0.07534,0.0962,0.1154,0.158205,1.000848863,5000
deviance,42399.294,9.529938507,42380,42390,42400,42410,42420,1.000801515,5000
1,42425.1,,,,,,,,
2,25.816,,,,,,,,
